unit	age	geo	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 
PC	Y_LT25	DK	4.4 	4.4 	4.7 	5.8 	6.2 	5.9 	5.6 	5.8 	6.3 	5.6 	5.3 	4.0 	6.1 	: 
PC	Y_LT25	EE	: 	: 	12.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC	Y_LT25	EL	: 	: 	4.2 	: 	: 	: 	-0.2 	: 	: 	: 	-8.0 	: 	: 	: 
PC	Y_LT25	ES	-3.0	-3.0 	1.7 	4.1 	4.7 	9.2 	5.7 	7.3 	8.3 	5.9 	4.8 	5.5 	7.9 	6.5 
PC	Y_LT25	FI	5.9 	5.9 	4.9 	6.3 	5.0 	3.7 	4.3 	6.2 	6.0 	6.5 	7.0 	7.0 	7.4 	: 
PC	Y_LT25	FR	3.2	3.7	3.5 	1.7 	-0.2 	-2.0 	-3.8 	-4.4 	-5.7 	-6.6 	-6.9 	-4.2 	: 	: 
PC	Y_LT25	HR	5.7	4.3	3.5 	5.0 	4.4 	: 	2.7 	0.2 	: 	: 	6.3 	: 	: 	: 
PC	Y_LT25	HU	7.1 	8.1	7.9 	3	3.7 	3.3 	8.2 	2.8 	4.5 	4.1 	-1.1 	-0.6 	0.5 	0.1 
PC	Y_LT25	IE	: 	: 	-5.3 	3	3	2.9	7.3 	4.8 	1.6 	-1.4 	0.8 	-0.3 	-1.3 	: 
PC	Y_LT25	IS	-0.9	1.9	0.2 	0.5 	2.2 	3.0 	2.6 	4.2 	3.8 	5.4 	4.5 	3.4 	7.0 	9.3 
PC	Y_LT25	IT	4.5	3.6	4.9 	15.8	16	10.7	8.7 	12.5 	8.2 	5.0 	5.3 	6.7 	2.0 	2.1 
PC	Y_LT25	LT	13.6	11.3	13.3 	13.3 	14.6 	14.2 	10.5 	8.4 	7.4 	6.2 	9.8	10.2 	16.5 	19.2 
PC	Y_LT25	LU	: 	: 	-6.1 	: 	: 	: 	-4.4 	: 	: 	: 	-6.2 	-5.8 	-5.4 	-5.0 
PC	Y_LT25	LV	11.8	10.6	10.3	11.5	11.6	12.2	14.0 	: 	: 	: 	6.7 	: 	: 	: 
PC	Y_LT25	ME	: 	: 	: 	: 	: 	: 	4.6 	: 	: 	: 	: 	: 	: 	: 
PC	Y_LT25	MK	: 	: 	: 	: 	: 	: 	3.5 	: 	: 	: 	: 	: 	: 	: 
PC	Y_LT25	MT	7.4	4.2	2.6 	2.8 	2.7 	0.6 	0.5 	1.1 	1.0 	0.6 	-3.2 	-1.8 	-1.4 	-2.7 
PC	Y_LT25	NL	1.9	2.3	-0.5 	0.6 	2.1 	2.2 	0.6 	1.2 	1.7 	2.1 	-0.3 	0.7 	0.8 	0.7 
PC	Y_LT25	NO	0.3	0.7	1.1 	1.8 	1.7 	2.4 	4.0 	4.8 	4.9 	6.0 	6.5 	6.7 	7.4 	: 
PC	Y_LT25	PL	8.2 	9.0 	9.8 	7.1 	7.3 	8.0 	8.8 	7.3	5.8 	4.7 	3.5 	6.5 	9.6 	12.6 
PC	Y_LT25	PT	7.8	6.0	3.1 	5.0 	3.4 	6.8 	7.2 	8.6 	6.4 	6.2 	4.9 	2.4 	5.2 	-0.5 
PC	Y_LT25	RO	5.4	5.4	5.6 	3.9	2.2	0.6	-1.1 	-0.4 	0.4 	1.0 	1.7 	1.9	1.8	1.9
PC	Y_LT25	RS	: 	: 	5.4 	: 	: 	: 	6.7 	: 	: 	: 	: 	: 	: 	: 
PC	Y_LT25	SE	5.6 	5.1 	6.0 	5.6 	4.8 	6.2 	5.3 	5.4 	5.9 	5.9 	6.5 	5.3 	6.8 	: 
PC	Y_LT25	SI	3.8	9.1	9.8 	7.4 	7.7 	8.2 	5.9 	3.6 	-0.5 	-3.2 	-7.1 	-10.6 	-4.9 	-4.0 
PC	Y_LT25	SK	6.9 	10.4 	12.3 	12.8 	11.1 	12.3 	11.5 	9.5 	12.1 	10.1 	7.3 	8.7 	9.5 	: 
PC	Y_LT25	TR	: 	: 	: 	: 	: 	: 	-2.9 	: 	: 	: 	: 	: 	: 	: 
PC	Y_LT25	UK	: 	: 	5.3 	6.4 	5.1 	6.5 	4.4 	5.5 	4.5 	4.9 	7.4	4.7 	3.7 	4.0 
